country_name,Value
India,3.08
United States,1.89
Germany,1.48
Canada,1.31
Singapore,1.28
Netherlands,1.12
United Kingdom,1
Industry average,1
China,0.97
Australia,0.97
Italy,0.97
South Africa,0.95
Hong Kong (China),0.89
Turkey,0.84
Sweden,0.81
Brazil,0.75
Switzerland,0.72
Poland,0.66
France,0.65
