country_name,Value
India,3.96
United States,2.2
Israel,1.35
Germany,1.27
Canada,1.23
Korea,1.18
Greece,1.17
Japan,1.02
Industry average,1
United Kingdom,0.91
France,0.8
China,0.76
Australia,0.75
Switzerland,0.71
Norway,0.68
Spain,0.64
South Africa,0.64
Singapore,0.64
Turkey,0.61
Italy,0.54
Sweden,0.52
Netherlands,0.52
Ireland,0.51
Finland,0.5
Hong Kong (China),0.49
Poland,0.47
Belgium,0.46
New Zealand,0.44
Austria,0.43
Denmark,0.4
Brazil,0.37
