country_name,Value
India,2.39
United States,2.21
Germany,1.66
Israel,1.31
Sweden,1.16
Singapore,1.04
Industry average,1
Canada,0.99
China,0.93
Japan,0.91
Spain,0.76
Turkey,0.72
France,0.7
United Kingdom,0.6
Italy,0.49
