date,concept,Relative Demand
2017-12-01,Machine learning tools,0.31240683656300694
2018-01-01,Machine learning tools,0.31069098360088754
2018-02-01,Machine learning tools,0.3145584873646676
2018-03-01,Machine learning tools,0.31532782007221377
2018-04-01,Machine learning tools,0.3138714239692579
2018-05-01,Machine learning tools,0.31224233457066125
2018-06-01,Machine learning tools,0.3132866198739811
2018-07-01,Machine learning tools,0.31356628252344265
2018-08-01,Machine learning tools,0.31408899340176044
2018-09-01,Machine learning tools,0.31614950644596884
2018-10-01,Machine learning tools,0.31902535851194946
2018-11-01,Machine learning tools,0.319654611503486
2018-12-01,Machine learning tools,0.3204799347433038
2019-01-01,Machine learning tools,0.32161273552419983
2019-02-01,Machine learning tools,0.32354665857839526
2019-03-01,Machine learning tools,0.3247841463485609
2019-04-01,Machine learning tools,0.32626588044631
2019-05-01,Machine learning tools,0.32845929647847016
2019-06-01,Machine learning tools,0.33071042163407693
2019-07-01,Machine learning tools,0.3323039696390198
2019-08-01,Machine learning tools,0.3331339990126248
2019-09-01,Machine learning tools,0.33385951617215337
2019-10-01,Machine learning tools,0.33381898889797257
2019-11-01,Machine learning tools,0.33776929151626917
2019-12-01,Machine learning tools,0.3381568530468697
2020-01-01,Machine learning tools,0.3377175318830622
2020-02-01,Machine learning tools,0.3390523407035334
2020-03-01,Machine learning tools,0.3392849842359074
2020-04-01,Machine learning tools,0.33732896923599764
2020-05-01,Machine learning tools,0.3372177983781636
2020-06-01,Machine learning tools,0.33843390243736565
2020-07-01,Machine learning tools,0.33916839829081336
2020-08-01,Machine learning tools,0.34056136881272986
2020-09-01,Machine learning tools,0.33960870354577916
2020-10-01,Machine learning tools,0.3399088549045827
2020-11-01,Machine learning tools,0.3427683961152817
2020-12-01,Machine learning tools,0.3440422846634871
2021-01-01,Machine learning tools,0.35314354524744157
2021-02-01,Machine learning tools,0.3469812630863711
2021-03-01,Machine learning tools,0.34232865856095973
2021-04-01,Machine learning tools,0.339717066127021
2021-05-01,Machine learning tools,0.34002805736833636
2021-06-01,Machine learning tools,0.33915954521595626
2021-07-01,Machine learning tools,0.33844787684338684
2021-08-01,Machine learning tools,0.3374635423581887
2021-09-01,Machine learning tools,0.33509007506613564
2021-10-01,Machine learning tools,0.33838554618137373
2021-11-01,Machine learning tools,0.3396888183567217
2021-12-01,Machine learning tools,0.3397891158626039
2022-01-01,Machine learning tools,0.3376032361017281
2022-02-01,Machine learning tools,0.3361870953154442
2022-03-01,Machine learning tools,0.3383234687146904
2022-04-01,Machine learning tools,0.3376993518595114
2022-05-01,Machine learning tools,0.3358422598834762
2022-06-01,Machine learning tools,0.3347436895042551
2022-07-01,Machine learning tools,0.33396228538906486
2017-12-01,AI software development,0.7070848849023492
2018-01-01,AI software development,0.7026647663217527
2018-02-01,AI software development,0.710869962918593
2018-03-01,AI software development,0.710091858066964
2018-04-01,AI software development,0.7056729611711764
2018-05-01,AI software development,0.7007624078053672
2018-06-01,AI software development,0.7007843879499127
2018-07-01,AI software development,0.7014470425324565
2018-08-01,AI software development,0.7038904626224237
2018-09-01,AI software development,0.7087420347521928
2018-10-01,AI software development,0.7110670528464068
2018-11-01,AI software development,0.7106024239432034
2018-12-01,AI software development,0.7114318795356336
2019-01-01,AI software development,0.7130777105118298
2019-02-01,AI software development,0.717410808991425
2019-03-01,AI software development,0.7188713564894713
2019-04-01,AI software development,0.7216469032117658
2019-05-01,AI software development,0.7247206866922581
2019-06-01,AI software development,0.7291241751667971
2019-07-01,AI software development,0.7315449250825785
2019-08-01,AI software development,0.7318507532125298
2019-09-01,AI software development,0.7329416955181902
2019-10-01,AI software development,0.7309823617321167
2019-11-01,AI software development,0.7344117057623721
2019-12-01,AI software development,0.7359378988246842
2020-01-01,AI software development,0.7365014850041863
2020-02-01,AI software development,0.7391542124743808
2020-03-01,AI software development,0.7395932562906546
2020-04-01,AI software development,0.7365608397428145
2020-05-01,AI software development,0.7354283299374811
2020-06-01,AI software development,0.7384936371470944
2020-07-01,AI software development,0.7390598582369826
2020-08-01,AI software development,0.7423073406114332
2020-09-01,AI software development,0.7427945549191537
2020-10-01,AI software development,0.745796918846677
2020-11-01,AI software development,0.7524321143363358
2020-12-01,AI software development,0.7547856084705478
2021-01-01,AI software development,0.7670223411102426
2021-02-01,AI software development,0.7576451128073857
2021-03-01,AI software development,0.7527413760480184
2021-04-01,AI software development,0.7511383185548822
2021-05-01,AI software development,0.7509757174030497
2021-06-01,AI software development,0.746988128539227
2021-07-01,AI software development,0.7437292301549764
2021-08-01,AI software development,0.7370394111152525
2021-09-01,AI software development,0.7344741655289415
2021-10-01,AI software development,0.7408245926689112
2021-11-01,AI software development,0.7450646052810018
2021-12-01,AI software development,0.7430253615141721
2022-01-01,AI software development,0.7366583918509036
2022-02-01,AI software development,0.7309636833704541
2022-03-01,AI software development,0.7316681968789824
2022-04-01,AI software development,0.7271201555690816
2022-05-01,AI software development,0.7217997503765998
2022-06-01,AI software development,0.7175995816418186
2022-07-01,AI software development,0.7149516261453909
2017-12-01,AI research & methodology,0.5375943628934885
