country_name,Value
India,3.96
United States,2.21
Canada,1.39
Korea,1.22
China,1.13
Singapore,1.09
Average (female),1
Germany,0.95
Israel,0.95
Australia,0.92
Finland,0.91
United Kingdom,0.89
Netherlands,0.75
France,0.66
Switzerland,0.66
Japan,0.65
Brazil,0.6
South Africa,0.57
Poland,0.49
Italy,0.48
Spain,0.46
Greece,0.44
Turkey,0.43
