Month-Year,Australia,Belgium,Brazil,Canada,Chile,China,Cyprus,Denmark,Finland,France,Germany,Hong Kong SAR,India,Ireland,Israel,Italy,Luxembourg,Netherlands,New Zealand,Norway,Portugal,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,United Arab Emirates,United Kingdom,United States
2016-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017-01-01,0.987180488,0.975702739,0.977769783,0.986847405,0.966432732,1.023103968,0.965273491,0.969591617,0.962038221,0.976758522,0.98239115,1.030883104,0.976510206,0.975624808,0.977354661,0.973731632,0.967037876,0.973450416,0.995007391,0.983238087,0.957472157,0.994548323,1.006115539,1.00359753,0.989411891,0.988590476,0.973416779,0.95851315,0.983724246,0.982698689
2017-02-01,0.976225216,0.985622012,0.974145188,0.993313374,1.051395346,1.01422071,0.914741117,0.9475178,0.927035298,0.960660081,0.97389099,1.018599112,0.955646762,0.997320973,0.953782907,0.954381136,1.057961299,0.949447174,0.965845481,0.981974825,0.917517846,0.987732077,0.994187063,0.974076153,0.972884266,0.962421538,0.966614985,0.989778047,0.960613478,0.969135177
2017-03-01,0.968696182,0.965891638,0.972540647,0.984563154,1.028314661,1.023012471,0.866801944,0.936712246,0.886767465,0.94621998,0.962833924,1.000364688,0.932250785,1.026743303,0.931512015,0.943638372,1.060364565,0.925181401,0.964636701,0.982533828,0.919162406,1.009162998,0.970177561,0.952725038,0.959394287,0.93674241,0.950358369,0.953593338,0.954247797,0.961233419
2017-04-01,0.958446786,0.933704558,0.959134164,0.984908711,1.036992349,1.022093172,1.088383222,0.932613414,0.86833834,0.932086429,0.964028463,0.991638497,0.91247526,1.001866091,0.9245542,0.947998163,1.038263208,0.907648709,1.019790158,1.007403289,0.919088357,1.005944921,0.976962607,0.948698465,0.951281264,0.937496782,0.923250769,0.928384989,0.943453177,0.954978454
2017-05-01,0.950921347,0.913326374,0.958250762,0.983036899,1.036409664,1.029587758,1.115885223,0.906880719,0.88259511,0.921333859,0.962097184,1.008151339,0.898773231,1.0093721,0.91307176,0.937277444,1.008843627,0.884875165,0.976133099,0.975103063,0.915366294,1.00467,1.003042394,0.925177733,0.963327302,0.905422169,0.93330712,0.902944421,0.937481196,0.947792977
2017-06-01,0.939592032,0.894041724,0.920492217,0.974608021,1.030336668,1.051654709,1.184392068,0.892551996,0.853833899,0.909256077,0.959110487,1.045068837,0.884911959,1.01449781,0.884396284,0.927687822,0.963517604,0.867324451,0.941419834,0.993689654,0.875219572,1.01931784,0.994078377,0.974029103,0.95337058,0.886639622,0.930252468,0.887327711,0.940102147,0.937838303
2017-07-01,0.949999603,0.864511874,0.911384596,0.978093541,1.012707156,1.050128936,1.189248247,0.863632294,0.87402099,0.905937491,0.949667676,1.125138744,0.871549189,1.01534392,0.879570877,0.915061961,1.001323354,0.854925955,0.931237327,0.99905976,0.852914419,1.010490036,0.999735831,0.947939994,0.943011849,0.893849,0.929295668,0.8713993,0.932692346,0.935348257
2017-08-01,0.967896839,0.841619302,0.905963886,0.97750165,0.99471283,1.066903747,1.29983196,0.847102292,0.844259101,0.90339178,0.945315504,1.110612951,0.863872464,1.010228336,0.886099031,0.90419213,0.949925583,0.842831027,0.927448348,0.994337709,0.862124317,1.002814225,1.055446083,0.987859975,0.945074705,0.908197405,0.931603615,0.828505811,0.931912988,0.930399257
2017-09-01,0.955992967,0.830308883,0.906756532,0.980152855,1.000217528,1.068062601,1.261492,0.845975179,0.819023224,0.893727243,0.937450269,1.105229713,0.85914894,0.998196504,0.869086337,0.909093563,0.957292692,0.832022332,0.964622379,0.994160563,0.853163361,0.996555606,1.084314229,0.993524595,0.944215985,0.90134785,0.915400474,0.812267007,0.921480317,0.931466002
2017-10-01,0.943253025,0.81966255,0.90981861,0.968593163,0.973349075,1.080622752,1.227899182,0.838972611,0.796092734,0.87831509,0.933251163,1.097357906,0.855143765,0.997007951,0.836901779,0.896763398,0.923431537,0.825345492,0.979336676,1.015087048,0.853959868,0.97905533,1.066567595,0.987529281,0.943982488,0.889500758,0.921025933,0.779442813,0.915855423,0.926514468
2017-11-01,0.949414191,0.810880176,0.899463042,0.96949474,0.957005334,1.083173215,1.22591901,0.82457711,0.770347506,0.876650162,0.941051352,1.079522136,0.846057132,0.986931409,0.831436764,0.895404432,0.911351622,0.815539243,0.947927855,1.005962645,0.828667346,0.98892765,1.064540411,0.98157092,0.946723671,0.901247448,0.925032166,0.782373373,0.908581161,0.92291271
2017-12-01,0.933037074,0.815148655,0.899388603,0.976079516,0.954457586,1.08402824,1.239659865,0.799379947,0.776775359,0.880805456,0.939678052,1.137733764,0.841414362,0.984634223,0.832338237,0.889148134,0.892796437,0.811453189,0.942085477,1.070829863,0.911657086,0.999850149,1.08633826,1.011556588,0.960988826,0.904860936,0.915616053,0.792383501,0.913696393,0.925873594
2018-01-01,0.945973582,0.83657157,0.934888242,1.001859586,1.002276681,1.073146003,1.253883402,0.838486674,0.821525318,0.907715989,0.967879667,1.100585883,0.860341972,1.009784547,0.841086769,0.905656658,0.969190429,0.844524504,0.921267872,1.097041005,0.975970959,1.017801467,1.082762131,1.0247034,0.971508939,0.910011398,0.954678198,0.894896194,0.930918362,0.945465824
2018-02-01,0.962973701,0.823518906,0.941079705,0.988320754,0.881512729,1.091411723,1.413336055,0.834426707,0.884681718,0.928930048,0.975947275,1.140360793,0.876164475,0.982285395,0.863255948,0.934783573,0.814157325,0.867851641,0.971599587,1.10891801,1.027305202,1.039689851,1.087552492,1.021831274,0.988637093,0.932943945,0.954422608,0.844959445,0.955562775,0.959273165
2018-03-01,0.982226076,0.832393295,0.93669983,1.001236672,0.933211987,1.080414521,1.474944065,0.835071282,0.945375131,0.947649596,1.003014371,1.155395698,0.899601826,0.927989162,0.880447185,0.951053795,0.799901471,0.888299302,1.005394358,1.086871278,1.018220334,1.012123162,1.107288987,1.047605233,1.005982516,0.981507816,0.98244057,0.950413178,0.967122674,0.973865659
2018-04-01,1.001937539,0.867698003,0.960212567,1.012639888,0.907941168,1.10225133,1.209923073,0.840763131,0.971703824,0.962764733,1.000529808,1.201948721,0.921189427,0.965791909,0.86622537,0.94173386,0.880139038,0.91519464,0.930462217,1.067750959,1.055943802,1.002762942,1.096476038,1.023069515,0.995896723,0.977582702,1.016314634,0.987703621,0.984557871,0.985160068
2018-05-01,1.026640327,0.916757606,0.967696383,1.023162921,0.905208192,1.101968137,1.134437841,0.860285652,0.949201025,0.978826118,1.015693922,1.190448136,0.944180548,0.963359989,0.880223032,0.966769605,0.888696061,0.935762515,1.033439584,1.155184048,1.066804511,1.033284855,1.069440808,1.072906283,0.971608704,1.014115652,0.999047502,1.040168789,0.997670667,1.002868848
2018-06-01,1.077648598,0.915990499,1.072471474,1.048639262,0.990405553,1.102159502,1.062658177,0.883464694,0.973649105,0.999352709,1.02273361,1.178356941,0.970768026,0.949362528,0.903564253,0.970104075,0.958789289,0.948578808,1.107233652,1.134051002,1.150002333,1.01758569,1.08250111,1.025247501,0.975481117,1.061844381,1.005811597,1.09147616,0.994636001,1.022773702
2018-07-01,1.081603418,0.943230088,1.122538439,1.052784502,1.046997399,1.124421613,1.026115565,0.906486541,0.935071453,0.995930128,1.044418419,1.10352216,0.989389117,0.94232696,0.89795573,0.99469714,0.901170495,0.968030328,1.144048173,1.136984105,1.188948797,1.033343339,1.083736753,1.045536483,1.002943185,1.027222489,0.996940545,1.129910744,1.016358851,1.032565865
