Country,Relative AI Skills Penetration,Number of (Unique) Occupations with AI Skills in the Country
India,3.95786,74
United States,2.20702,45
Canada,1.38554,17
South Korea,1.22373,9
China,1.12779,19
Singapore,1.09008,9
Germany,0.94875,15
Israel,0.94697,11
Australia,0.91996,7
Finland,0.91042,5
United Kingdom,0.88771,17
Netherlands,0.75445,9
France,0.65645,14
Switzerland,0.65597,8
Brazil,0.59599,12
South Africa,0.57194,5
Italy,0.48256,10
Spain,0.45993,9
